code,display,display_en,aliases
111293003,Bacterial pneumonia,Bacterial pneumonia,pneumonia|lung infection|bacterial lung infection
233604007,Viral pneumonia,Viral pneumonia,virus pneumonia|viral lung infection
36653000,Rubella,Rubella,German measles|congenital rubella
14189004,Measles,Measles,rubeola|morbillivirus infection
27836007,Whooping cough,Whooping cough,pertussis|whooping cough|bordetella pertussis
4834000,Typhoid fever,Typhoid fever,typhoid|salmonella typhi|enteric fever
840539006,COVID-19,COVID-19,coronavirus|SARS-CoV-2|covid|covid-19
186431008,Syphilis,Syphilis,primary syphilis|secondary syphilis|lues|treponema
15628003,Gonorrhea,Gonorrhea,gonococcal infection|GC|neisseria gonorrhoeae
186150001,Mumps,Mumps,epidemic parotitis|parotitis
128613002,Metabolic syndrome,Metabolic syndrome,syndrome X|insulin resistance|MetS
37340000,Gout,Gout,gouty arthritis|symptomatic hyperuricemia
39621005,Cholelithiasis,Cholelithiasis,gallstones|gallbladder stones|biliary calculi
95417003,Hearing loss,Hearing loss,deafness|hearing impairment|sensorineural hearing loss
193003005,Glaucoma,Glaucoma,chronic glaucoma|high eye pressure|open-angle glaucoma
4855003,Diabetic retinopathy,Diabetic retinopathy,eye damage from diabetes|retinopathy
399211009,Diabetic neuropathy,Diabetic neuropathy,peripheral neuropathy diabetic|diabetic foot neuropathy
230572002,Peripheral neuropathy,Peripheral neuropathy,tingling|neuropathy|chronic paresthesia
13200003,Peptic ulcer disease,Peptic ulcer disease,peptic ulcer|gastric ulcer|duodenal ulcer
302866003,Hyperbilirubinemia,Hyperbilirubinemia,jaundice|high bilirubin|neonatal jaundice
35240004,Diabetic foot,Diabetic foot,infected diabetic foot|diabetic foot ulcer|neuropathic diabetic foot
128462008,Peripheral vascular disease,Peripheral vascular disease,PVD|intermittent claudication|peripheral arteriopathy|PAD
254837009,Breast cancer,Breast cancer,breast neoplasm|breast tumor|mammary carcinoma
363406005,Lung cancer,Lung cancer,pulmonary neoplasm|lung tumor|pulmonary carcinoma
93761005,Colorectal cancer,Colorectal cancer,colon cancer|rectal cancer|colorectal neoplasm
91861009,Hemophilia,Hemophilia,hemophilia A|hemophilia B|clotting disorder
118940003,Thrombocytopenia,Thrombocytopenia,low platelets|platelet deficiency
85828009,Systemic lupus erythematosus,Systemic lupus erythematosus,lupus|SLE|systemic autoimmune disease
24700007,Multiple sclerosis,Multiple sclerosis,MS|demyelinating disease
49049000,Parkinson disease,Parkinson disease,Parkinson's|parkinsonism|essential tremor
26929004,Alzheimer disease,Alzheimer disease,Alzheimer's|Alzheimer dementia|cognitive decline
52448006,Dementia,Dementia,senile dementia|major cognitive disorder|vascular dementia
86406008,Malnutrition,Malnutrition,childhood malnutrition|chronic malnutrition|undernutrition
72366004,Acute diarrhea,Acute diarrhea,acute gastroenteritis|infectious diarrhea|AGE
200936003,Preeclampsia,Preeclampsia,toxemia of pregnancy|severe gestational hypertension
11687002,Gestational diabetes,Gestational diabetes,pregnancy diabetes|GDM|gestational diabetes mellitus
398254007,Eclampsia,Eclampsia,pregnancy seizures|puerperal eclampsia
86849004,Down syndrome,Down syndrome,trisomy 21
66091009,Hemorrhoids,Hemorrhoids,piles|internal hemorrhoids|external hemorrhoids
271737000,Dysphagia,Dysphagia,difficulty swallowing|swallowing disorder
233678006,Bronchiolitis,Bronchiolitis,acute bronchiolitis|infant bronchiolitis|RSV bronchiolitis
36989005,Varicella,Varicella,chickenpox|chicken pox
80146002,Appendectomy,Appendectomy,laparoscopic appendectomy|appendix removal
73761001,Cholecystectomy,Cholecystectomy,gallbladder removal|laparoscopic cholecystectomy
11466000,Cesarean section,Cesarean section,C-section|cesarean delivery
108241001,Dialysis,Dialysis,hemodialysis|renal dialysis|HD|peritoneal dialysis
86273004,Biopsy,Biopsy,tissue biopsy|needle biopsy|tissue sampling
232717009,Coronary angiography,Coronary angiography,cardiac catheterization|coronary catheterization
397956004,Upper GI endoscopy,Upper GI endoscopy,EGD|esophagogastroduodenoscopy|gastroscopy
274025005,Coronary stent placement,Coronary stent placement,stent|angioplasty with stent|coronary stenting|PCI
422073006,Cataract surgery,Cataract surgery,phacoemulsification|cataract removal
65546002,Tooth extraction,Tooth extraction,dental extraction|exodontia
91936005,Penicillin allergy,Penicillin allergy,penicillin hypersensitivity|PCN allergy
294505008,NSAID allergy,NSAID allergy,NSAID hypersensitivity|ibuprofen allergy|aspirin-NSAID sensitivity
300913006,Latex allergy,Latex allergy,latex hypersensitivity|rubber allergy
91935009,Peanut allergy,Peanut allergy,groundnut allergy|peanut hypersensitivity
414285001,Food allergy,Food allergy,food hypersensitivity|food intolerance
418689008,Egg allergy,Egg allergy,egg hypersensitivity|ovalbumin allergy
294183002,Aspirin allergy,Aspirin allergy,aspirin hypersensitivity|ASA allergy
419474003,Pollen allergy,Pollen allergy,allergic rhinitis|hay fever|seasonal allergy|pollinosis
